Player,Salary,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, , , , , , , , ,OWS,DWS,WS,WS/48, , , , , , , , ,OBPM,DBPM,BPM,VORP
Stephen Curry,51915615,PG,35,GSW,44,44,33.7,9.1,19.9,.460,4.8,11.8,.410,4.3,8.0,.534,.582,5.0,5.4,.932,0.5,3.9,4.4,5.0,0.8,0.4,3.0,1.8,28.1,21.4,.633,.595,.271,1.5,12.6,7.1,23.9,1.1,1.0,12.0,31.5,,,,,,,,,3.5,1.0,4.5,.146,,,,,,,,,6.6,-1.2,5.4,2.7
Kevin Durant,47649433,PF,35,PHO,44,44,37.1,10.2,19.0,.537,2.3,5.0,.455,7.9,13.9,.567,.598,5.6,6.5,.870,0.5,5.9,6.4,5.6,0.9,1.3,3.1,1.9,28.3,23.4,.649,.266,.342,1.7,17.4,10.0,25.0,1.2,3.0,12.6,29.2,,,,,,,,,4.3,1.8,6.0,.178,,,,,,,,,5.6,0.2,5.8,3.2
Nikola Jokic,47607350,C,28,DEN,49,49,33.8,10.3,17.5,.587,1.0,2.9,.362,9.2,14.6,.632,.617,4.7,5.8,.817,3.0,9.2,12.2,9.0,1.2,0.9,2.9,2.6,26.3,32.0,.657,.164,.331,10.3,29.8,20.2,43.9,1.7,2.3,12.8,29.6,,,,,,,,,7.7,2.9,10.6,.307,,,,,,,,,9.9,4.4,14.3,6.9
LeBron James,47607350,PF,39,LAL,46,46,34.9,9.4,18.0,.521,2.1,5.4,.390,7.3,12.6,.578,.580,4.0,5.5,.727,0.9,6.4,7.3,7.6,1.3,0.6,3.3,1.2,24.9,22.3,.609,.300,.305,2.9,19.6,11.6,35.2,1.8,1.5,13.8,29.3,,,,,,,,,2.5,2.0,4.5,.135,,,,,,,,,4.9,0.9,5.7,3.1
Joel Embiid,47607350,C,29,PHI,34,34,34.0,11.8,22.2,.533,1.2,3.3,.366,10.6,18.9,.562,.560,10.5,11.9,.883,2.6,8.7,11.3,5.7,1.1,1.8,3.7,2.9,35.3,34.3,.645,.149,.534,8.5,28.2,18.3,31.4,1.6,4.6,11.9,39.0,,,,,,,,,4.8,2.0,6.8,.284,,,,,,,,,8.8,3.0,11.9,4.1
Bradley Beal,46741590,SG,30,PHO,27,27,33.5,7.2,14.6,.494,1.5,4.5,.339,5.7,10.1,.563,.546,2.5,3.2,.770,0.8,3.6,4.4,4.6,0.9,0.3,2.4,2.7,18.4,14.6,.575,.308,.221,3.0,11.7,7.6,20.4,1.3,0.8,13.3,23.9,,,,,,,,,0.6,0.7,1.3,.071,,,,,,,,,-1.0,-1.5,-2.5,-0.1
Kawhi Leonard,45640084,SF,32,LAC,45,45,34.4,9.2,17.2,.533,2.4,5.2,.457,6.8,12.0,.566,.602,3.7,4.1,.892,1.2,5.1,6.3,3.7,1.7,0.9,1.5,1.5,24.4,24.3,.641,.302,.240,4.0,16.1,10.3,17.0,2.4,2.4,7.5,26.0,,,,,,,,,4.8,2.2,7.0,.216,,,,,,,,,5.6,1.1,6.8,3.4
Paul George,45640084,PF,33,LAC,46,46,33.9,7.9,17.2,.461,3.4,8.2,.412,4.5,8.9,.507,.560,3.4,3.8,.908,0.6,4.8,5.4,3.6,1.6,0.4,2.1,2.9,22.6,18.8,.602,.480,.219,2.0,15.5,9.1,15.9,2.3,1.1,9.9,26.8,,,,,,,,,2.5,2.0,4.5,.140,,,,,,,,,2.4,0.3,2.7,1.8
Giannis Antetokounmpo,45640084,PF,29,MIL,49,49,35.4,11.7,19.2,.611,0.5,1.8,.258,11.2,17.3,.648,.624,7.4,11.3,.659,2.6,8.7,11.3,6.3,1.4,1.1,3.6,3.1,31.3,29.5,.649,.095,.590,8.3,26.2,17.6,30.4,1.8,2.5,13.0,33.2,,,,,,,,,6.1,2.4,8.5,.235,,,,,,,,,6.2,2.1,8.4,4.5
Damian Lillard,45640084,PG,33,MIL,47,47,35.4,7.4,17.4,.425,3.0,8.5,.347,4.4,8.9,.500,.510,7.2,7.8,.921,0.6,3.6,4.2,6.8,1.0,0.2,2.6,1.7,24.9,19.9,.598,.490,.447,1.8,10.9,6.5,26.9,1.4,0.5,10.9,28.0,,,,,,,,,4.1,1.1,5.2,.149,,,,,,,,,3.4,-1.4,2.0,1.7
Jimmy Butler,45183960,PF,34,MIA,36,36,33.9,6.8,13.4,.502,1.0,2.3,.444,5.8,11.2,.514,.539,7.0,8.1,.866,2.1,3.3,5.3,4.4,1.3,0.3,1.8,1.1,21.5,22.2,.633,.167,.603,6.8,11.0,8.9,21.0,1.9,0.8,9.3,24.5,,,,,,,,,3.8,1.4,5.2,.205,,,,,,,,,4.1,0.1,4.3,1.9
Klay Thompson,43219440,SF,33,GSW,45,45,30.8,6.0,14.5,.415,3.3,8.8,.371,2.8,5.7,.482,.528,1.8,2.0,.910,0.5,3.0,3.5,2.3,0.6,0.5,1.6,1.9,17.1,12.2,.556,.606,.136,1.8,10.4,6.1,11.0,0.9,1.6,9.4,23.1,,,,,,,,,0.5,0.8,1.4,.047,,,,,,,,,0.0,-1.7,-1.7,0.1
Rudy Gobert,41000000,C,31,MIN,50,50,33.4,5.1,7.9,.644,0.0,0.0,.000,5.1,7.9,.647,.644,3.4,5.4,.642,3.5,9.1,12.6,1.2,0.6,2.1,1.5,3.0,13.6,18.7,.664,.005,.677,12.9,29.2,21.6,5.1,0.9,5.5,13.0,15.6,,,,,,,,,3.3,3.9,7.2,.207,,,,,,,,,-0.1,1.8,1.7,1.5
Fred VanVleet,40806300,PG,29,HOU,47,47,36.7,5.5,13.5,.409,2.9,7.7,.374,2.6,5.8,.456,.516,2.6,3.0,.859,0.4,3.4,3.7,8.2,1.1,1.0,1.6,2.2,16.5,16.0,.557,.570,.224,1.1,10.0,5.5,31.4,1.5,2.5,9.7,19.1,,,,,,,,,3.0,2.2,5.1,.143,,,,,,,,,2.4,0.9,3.4,2.3
